"","Date","European Union_Allowance Price_Domestic Currency (EUR)","California_Allowance Price_Domestic Currency (USD)","New Zealand_Allowance Price_Domestic Currency (NZD)","Hubei_Allowance Price_Domestic Currency (CNY)"
"6",2005-01-03,NA,NA,NA,NA
"7",2005-01-04,NA,NA,NA,NA
"8",2005-01-05,NA,NA,NA,NA
"9",2005-01-06,NA,NA,NA,NA
"10",2005-01-07,NA,NA,NA,NA
"13",2005-01-10,NA,NA,NA,NA
"14",2005-01-11,NA,NA,NA,NA
"15",2005-01-12,NA,NA,NA,NA
"16",2005-01-13,NA,NA,NA,NA
"17",2005-01-14,NA,NA,NA,NA
"20",2005-01-17,NA,NA,NA,NA
"21",2005-01-18,NA,NA,NA,NA
"22",2005-01-19,NA,NA,NA,NA
"23",2005-01-20,NA,NA,NA,NA
"24",2005-01-21,NA,NA,NA,NA
"27",2005-01-24,NA,NA,NA,NA
"28",2005-01-25,NA,NA,NA,NA
"29",2005-01-26,NA,NA,NA,NA
"30",2005-01-27,NA,NA,NA,NA
"31",2005-01-28,NA,NA,NA,NA
"34",2005-01-31,NA,NA,NA,NA
"35",2005-02-01,NA,NA,NA,NA
"36",2005-02-02,NA,NA,NA,NA
"37",2005-02-03,NA,NA,NA,NA
"38",2005-02-04,NA,NA,NA,NA
"41",2005-02-07,NA,NA,NA,NA
"42",2005-02-08,NA,NA,NA,NA
"43",2005-02-09,NA,NA,NA,NA
"44",2005-02-10,NA,NA,NA,NA
"45",2005-02-11,NA,NA,NA,NA
"48",2005-02-14,NA,NA,NA,NA
"49",2005-02-15,NA,NA,NA,NA
"50",2005-02-16,NA,NA,NA,NA
"51",2005-02-17,NA,NA,NA,NA
"52",2005-02-18,NA,NA,NA,NA
"55",2005-02-21,NA,NA,NA,NA
"56",2005-02-22,NA,NA,NA,NA
"57",2005-02-23,NA,NA,NA,NA
"58",2005-02-24,NA,NA,NA,NA
"59",2005-02-25,NA,NA,NA,NA
"62",2005-02-28,NA,NA,NA,NA
"63",2005-03-01,NA,NA,NA,NA
"64",2005-03-02,NA,NA,NA,NA
"65",2005-03-03,NA,NA,NA,NA
"66",2005-03-04,NA,NA,NA,NA
"69",2005-03-07,NA,NA,NA,NA
"70",2005-03-08,NA,NA,NA,NA
"71",2005-03-09,10.4,NA,NA,NA
"72",2005-03-10,11.12,NA,NA,NA
"73",2005-03-11,NA,NA,NA,NA
"76",2005-03-14,NA,NA,NA,NA
"77",2005-03-15,10.6,NA,NA,NA
"78",2005-03-16,10.76,NA,NA,NA
"79",2005-03-17,NA,NA,NA,NA
"80",2005-03-18,11.45,NA,NA,NA
"83",2005-03-21,13.45,NA,NA,NA
"84",2005-03-22,14.32,NA,NA,NA
"85",2005-03-23,NA,NA,NA,NA
"86",2005-03-24,NA,NA,NA,NA
"87",2005-03-25,NA,NA,NA,NA
"90",2005-03-28,NA,NA,NA,NA
"91",2005-03-29,13.45,NA,NA,NA
"92",2005-03-30,NA,NA,NA,NA
"93",2005-03-31,14.25,NA,NA,NA
"94",2005-04-01,14.7,NA,NA,NA
"97",2005-04-04,16.95,NA,NA,NA
"98",2005-04-05,16.4,NA,NA,NA
"99",2005-04-06,14.65,NA,NA,NA
"100",2005-04-07,15.05,NA,NA,NA
"101",2005-04-08,14.2,NA,NA,NA
"104",2005-04-11,13.5,NA,NA,NA
"105",2005-04-12,15.5,NA,NA,NA
"106",2005-04-13,15.15,NA,NA,NA
"107",2005-04-14,15.74,NA,NA,NA
