Date,EUR= (BID),EURCNH= (BID),HBEHBEA (TRDPRC_1),HBEHBEAOTC (TRDPRC_1),EURCNY= (BID),
10/5/2004,1.1835,,,,9.7957,=
11/5/2004,1.1874,,,,9.8285,
12/5/2004,1.1897,,,,9.8475,
13/5/2004,1.1818,,,,9.782,
14/5/2004,1.188,,,,9.8333,
17/5/2004,1.2019,,,,9.9484,
18/5/2004,1.1954,,,,9.8944,
19/5/2004,1.2011,,,,9.9414,
20/5/2004,1.196,,,,9.8994,
21/5/2004,1.1995,,,,9.9284,
24/5/2004,1.2,,,,9.9325,
25/5/2004,1.2094,,,,10.0101,
26/5/2004,1.2112,,,,10.025,
27/5/2004,1.2267,,,,10.1532,
28/5/2004,1.2212,,,,10.1078,
31/5/2004,1.2184,,,,10.0845,
01/6/2004,1.2246,,,,10.1356,
02/6/2004,1.2208,,,,10.1042,
03/6/2004,1.2216,,,,10.1109,
04/6/2004,1.2264,,,,10.1505,
07/6/2004,1.2316,,,,10.1936,
08/6/2004,1.226,,,,10.1472,
09/6/2004,1.2039,,,,9.9643,
10/6/2004,1.2106,,,,10.0199,
11/6/2004,1.2006,,,,9.937,
14/6/2004,1.2052,,,,9.975,
15/6/2004,1.2159,,,,10.0635,
16/6/2004,1.2009,,,,9.9394,
17/6/2004,1.204,,,,9.965,
18/6/2004,1.2139,,,,10.047,
21/6/2004,1.2112,,,,10.0246,
22/6/2004,1.211,,,,10.023,
23/6/2004,1.2089,,,,10.0057,
24/6/2004,1.2173,,,,10.0752,
25/6/2004,1.2172,,,,10.0744,
28/6/2004,1.2184,,,,10.0842,
29/6/2004,1.2077,,,,9.9956,
30/6/2004,1.2185,,,,10.085,
01/7/2004,1.216,,,,10.0645,
02/7/2004,1.2321,,,,10.1976,
05/7/2004,1.2286,,,,10.1689,
06/7/2004,1.2285,,,,10.168,
07/7/2004,1.2372,,,,10.2401,
08/7/2004,1.2387,,,,10.2526,
09/7/2004,1.2414,,,,10.2749,
12/7/2004,1.241,,,,10.2715,
13/7/2004,1.233,,,,10.2053,
14/7/2004,1.2381,,,,10.2474,
15/7/2004,1.2355,,,,10.2259,
16/7/2004,1.2451,,,,10.3052,
19/7/2004,1.2441,,,,10.2969,
20/7/2004,1.2327,,,,10.2027,
21/7/2004,1.2267,,,,10.1529,
22/7/2004,1.2249,,,,10.138,
23/7/2004,1.2092,,,,10.0081,
26/7/2004,1.2145,,,,10.0521,
27/7/2004,1.2053,,,,9.9759,
28/7/2004,1.2053,,,,9.976,
29/7/2004,1.2035,,,,9.9612,
30/7/2004,1.2017,,,,9.9464,
02/8/2004,1.202,,,,9.949,
03/8/2004,1.205,,,,9.9738,
04/8/2004,1.205,,,,9.9738,
05/8/2004,1.2057,,,,9.9795,
06/8/2004,1.2273,,,,10.1582,
09/8/2004,1.2269,,,,10.1549,
10/8/2004,1.2223,,,,10.117,
11/8/2004,1.2226,,,,10.1193,
12/8/2004,1.2248,,,,10.1375,
13/8/2004,1.2374,,,,10.2417,
16/8/2004,1.2359,,,,10.2293,
17/8/2004,1.2351,,,,10.2226,
18/8/2004,1.2337,,,,10.211,
19/8/2004,1.2364,,,,10.2334,
20/8/2004,1.2309,,,,10.1878,
23/8/2004,1.2131,,,,10.0405,
24/8/2004,1.2081,,,,9.9991,
25/8/2004,1.2081,,,,9.999,
26/8/2004,1.2104,,,,10.018,
27/8/2004,1.2003,,,,9.9345,
30/8/2004,1.2055,,,,9.9776,
31/8/2004,1.2185,,,,10.085,
01/9/2004,1.2195,,,,10.0933,
02/9/2004,1.2174,,,,10.0761,
03/9/2004,1.2047,,,,9.9709,
06/9/2004,1.2056,,,,9.9783,
07/9/2004,1.2104,,,,10.0181,
08/9/2004,1.2181,,,,10.0818,
09/9/2004,1.2226,,,,10.1192,
10/9/2004,1.2259,,,,10.1463,
13/9/2004,1.2255,,,,10.143,
14/9/2004,1.2246,,,,10.1356,
15/9/2004,1.2148,,,,10.0547,
16/9/2004,1.2184,,,,10.0842,
17/9/2004,1.2194,,,,10.0926,
20/9/2004,1.2175,,,,10.0769,
21/9/2004,1.2328,,,,10.2034,
22/9/2004,1.2265,,,,10.1512,
23/9/2004,1.2265,,,,10.1512,
24/9/2004,1.2273,,,,10.1579,
27/9/2004,1.2301,,,,10.181,
28/9/2004,1.2323,,,,10.1993,
29/9/2004,1.2329,,,,10.2042,
30/9/2004,1.2431,,,,10.2886,
01/10/2004,1.2411,,,,10.2721,
04/10/2004,1.2288,,,,10.1703,
05/10/2004,1.2309,,,,10.1877,
06/10/2004,1.2285,,,,10.1678,
07/10/2004,1.2282,,,,10.1653,
08/10/2004,1.2403,,,,10.2657,
11/10/2004,1.2381,,,,10.2471,
12/10/2004,1.2318,,,,10.195,
13/10/2004,1.2343,,,,10.2157,
14/10/2004,1.2378,,,,10.2447,
15/10/2004,1.2462,,,,10.3142,
18/10/2004,1.2493,,,,10.3398,
19/10/2004,1.2515,,,,10.358,
20/10/2004,1.2583,,,,10.4143,
21/10/2004,1.2615,,,,10.4408,
22/10/2004,1.2684,,,,10.4979,
25/10/2004,1.2802,,,,10.5956,
26/10/2004,1.2753,,,,10.555,
27/10/2004,1.2706,,,,10.5161,
28/10/2004,1.2744,,,,10.5476,
29/10/2004,1.278,,,,10.5774,
01/11/2004,1.2749,,,,10.5517,
